kind,code,class_name,prof,room,date1,date2,start,end,kwan_name
교선,AK00021,요가,정은송,5C301,금,,10:00,10:50,나눔관
교선,AK00021,요가,정은송,5C301,금,,11:00,11:50,나눔관
교선,AD00164,생활과발레,장소정,5C301,목,,10:00,11:50,나눔관
전탐,VM00002,커뮤니케이션의이해,김서중,M205,월,,15:00,17:50,미가엘관
전선,LB00018,영어로읽는한국1,권용현,M205,화,,09:00,11:50,미가엘관
전탐,VS00012,경제환경과기업경영,이웅,M205,화,,15:00,17:50,미가엘관
전선,PC00017,디지털콘텐츠기획,김선구,M301,금,,09:00,11:50,미가엘관
전선,PC00013,아이디어와엔터테인먼트콘텐츠,곽미서,M301,수,,09:00,11:50,미가엘관
전선,PC00019,콘텐츠와플랫폼,전현택,M301,월,수,16:30,17:45,미가엘관
교필,AK00055,비아메디아채플(서양음악사),박태영,M301,월,,11:00,11:50,미가엘관
전선,PA00001,"콘텐츠세계로,미래로",전현택,M301,화,목,12:00,13:15,미가엘관
"전선, 전탐",LD00012,중국지역톺아보기,이남주,M301,화,목,15:00,16:15,미가엘관
전선,PC00023,문화콘텐츠유통과마케팅,전현택,M301,화,목,16:30,17:45,미가엘관
교필,AC00007,인권과평화,강성현,M301,화,,10:00,11:50,미가엘관
교필,AC00015,데이터활용및분석,윤명호,M401,금,,10:00,11:50,미가엘관
교필,AC00015,데이터활용및분석,윤명호,M401,금,,13:00,14:50,미가엘관
전선,PA00019,아바타영상제작,호중훈,M401,금,,15:00,17:50,미가엘관
전탐,VD00004,디지털드로잉워크숍,이영아,M401,목,,09:00,11:50,미가엘관
교선,AF00047,1인미디어의이해와제작,연희승,M401,목,,12:00,14:50,미가엘관
전선,PC00003,디자인레이아웃과캐릭터,박인평,M401,수,,12:00,14:50,미가엘관
전선,PA00026,캐릭터디자인,박인평,M401,수,,15:00,17:50,미가엘관
전선,PA00036,3D게임제작,김대우,M401,월,,12:00,14:45,미가엘관
전필,PC00022,디지털페인팅,이영아,M401,화,,09:00,11:50,미가엘관
교필,AC00016,과학기술과에콜로지,"김명철
신익상",M402,금,,10:00,11:50,미가엘관
교필,AC00016,과학기술과에콜로지,"김명철
신익상",M402,금,,13:00,14:50,미가엘관
교선,AK00050,창업기초법률과회계이해,정은재,M402,목,,09:00,11:50,미가엘관
전선,MA00028,정신보건사회복지론,미지정,M402,목,,12:00,14:50,미가엘관
전선,ME00005,인적자원관리,장승권,M402,수,,09:00,11:50,미가엘관
교선,AK00038,인류생존프로젝트,김현우,M402,수,,12:00,14:50,미가엘관
교선,AD00187,"일본군‘위안부’문제의역사
와운동",강성현,M402,수,,15:00,17:50,미가엘관
교필,AK00055,비아메디아채플(함께나누는세상),양만호,M402,월,,11:00,11:50,미가엘관
교선,AK00028,한국독립운동의요모조모,신주백,M402,월,,12:00,14:50,미가엘관
전탐,MB00020,계급젠더에스니시티,미지정,M402,월,,15:00,17:50,미가엘관
전선,MB00020,계급젠더에스니시티,김향수,M402,월,,15:00,17:50,미가엘관
전탐,VS00009,정치학의초대,박은홍,M402,화,목,15:00,16:15,미가엘관
전탐,VS00001,영상으로보는정치의세계,김창진,M402,화,목,16:30,17:45,미가엘관
"전필, 전선",XB00001,운영체제,김덕봉,M402,화,,09:00,11:50,미가엘관
교선,AK00033,디지털트렌드,김다혜,M402,화,,12:00,14:50,미가엘관
전필,XB00032,졸업지도,유상신,M402,화,,18:00,18:50,미가엘관
교선,AF00056,기후위기와지속가능한농업,김병수,M403,목,,09:00,11:50,미가엘관
전선,MB00023,현대사회와문화,하홍규,M403,목,,15:00,17:50,미가엘관
전선,MA00026,사례관리론,오현민,M403,수,,09:00,11:50,미가엘관
전탐,VS00004,뭐니뭐니해도문제는경제학,유철규,M403,월,수,13:30,14:45,미가엘관
전선,MC00014,화폐와금융,유철규,M403,월,수,15:00,16:15,미가엘관
교선,AK00036,경제변혁과문명의미래,이웅,M403,화,,12:00,14:50,미가엘관
전필,MA00007,사회복지행정론,황인매,M403,화,,15:00,17:50,미가엘관
