,room,kwan_name,floor
0,5C301,나눔관,3
3,M205,미가엘관,2
6,M301,미가엘관,3
14,M401,미가엘관,4
23,M402,미가엘관,4
39,M403,미가엘관,4
46,M404,미가엘관,4
50,M406,미가엘관,4
60,M407,미가엘관,4
73,7202,새천년관,2
84,7204,새천년관,2
97,7205,새천년관,2
110,7206,새천년관,2
123,7207,새천년관,2
135,7208,새천년관,2
152,7301,새천년관,3
156,7302,새천년관,3
165,7303,새천년관,3
166,7304,새천년관,3
179,7305,새천년관,3
186,7306,새천년관,3
194,7307,새천년관,3
196,7308,새천년관,3
207,7309,새천년관,3
220,7417,새천년관,4
221,9101,성미가엘성당&피츠버그홀,1
222,9301,성미가엘성당&피츠버그홀,3
225,1502,승연관,5
230,1503,승연관,5
237,1504,승연관,5
245,1505,승연관,5
255,1506,승연관,5
260,3301,월당관,3
268,3302,월당관,3
273,3401,월당관,4
279,3402,월당관,4
291,3501,월당관,5
293,3502,월당관,5
301,B105,일만관,1
304,6109,정보과학관,1
309,6110,정보과학관,1
318,6201,정보과학관,2
333,6202,정보과학관,2
345,6206,정보과학관,2
353,6402,정보과학관,4
354,6403,정보과학관,4
366,6404,정보과학관,4
373,6405,정보과학관,4
382,6406,정보과학관,4
